================================================================================
Verification Started At:   Wed Nov 22  12:48:43  2017
Verification Completed At: Wed Nov 22  12:49:02  2017
================================================================================
Verification report                                     Machine S/N:SFD2001052
Grid S/N: 0003  Units: IN              4.0+L/100             12:49PM on 11\22\17
================================================================================
                     Distance                               Distance  
--------------------------------------------------------------------------------
        Nominal    Atol   Deviation            Nominal    Atol   Deviation      
================================================================================
10-15    +1.92269 +0.00018 +0.00000     10-16    +2.01826 +0.00018 +0.00001     
10-17    +1.58461 +0.00017 +0.00000     10-18    +1.18110 +0.00017 +0.00002     
10-19    +0.85170 +0.00017 +0.00002     10-20    +0.70866 +0.00016 +0.00001     
10-21    +1.06299 +0.00017 +0.00002     10-22    +1.16325 +0.00017 +0.00002     
10-23    +1.42223 +0.00017 +0.00003     10-24    +1.77165 +0.00018 +0.00002     
10-25    +2.16821 +0.00018 +0.00002     11-12    +0.47244 +0.00016 -0.00001     
11-13    +0.94488 +0.00017 -0.00001     11-14    +1.41732 +0.00017 -0.00002     
11-15    +1.88976 +0.00018 -0.00002     11-16    +1.92269 +0.00018 -0.00001     
11-17    +1.46094 +0.00017 -0.00002     11-18    +1.00913 +0.00017 -0.00001     
11-19    +0.59055 +0.00016 -0.00001     11-20    +0.35433 +0.00016 -0.00001     
11-21    +0.70866 +0.00016 +0.00001     11-22    +0.85170 +0.00017 -0.00001     
11-23    +1.18110 +0.00017 +0.00001     11-24    +1.58461 +0.00017 -0.00001     
11-25    +2.01826 +0.00018 -0.00001     12-13    +0.47244 +0.00016 -0.00000     
12-14    +0.94488 +0.00017 -0.00001     12-15    +1.41732 +0.00017 -0.00001     
12-16    +1.46094 +0.00017 -0.00001     12-17    +1.00913 +0.00017 -0.00001     
12-18    +0.59055 +0.00016 -0.00000     12-19    +0.35433 +0.00016 +0.00000     
12-20    +0.59055 +0.00016 +0.00000     12-21    +0.85170 +0.00017 +0.00000     
12-22    +0.70866 +0.00016 -0.00001     12-23    +0.85170 +0.00017 +0.00001     
12-24    +1.18110 +0.00017 +0.00000     12-25    +1.58461 +0.00017 +0.00000     
13-14    +0.47244 +0.00016 -0.00001     13-15    +0.94488 +0.00017 -0.00001     
13-16    +1.00913 +0.00017 -0.00000     13-17    +0.59055 +0.00016 -0.00001     
13-18    +0.35433 +0.00016 +0.00001     13-19    +0.59055 +0.00016 +0.00000     
13-20    +1.00913 +0.00017 +0.00001     13-21    +1.18110 +0.00017 +0.00001     
13-22    +0.85170 +0.00017 -0.00000     13-23    +0.70866 +0.00016 +0.00001     
13-24    +0.85170 +0.00017 +0.00001     13-25    +1.18110 +0.00017 +0.00001     
14-15    +0.47244 +0.00016 +0.00000     14-16    +0.59055 +0.00016 +0.00000     
14-17    +0.35433 +0.00016 -0.00001     14-18    +0.59055 +0.00016 +0.00000     
14-19    +1.00913 +0.00017 -0.00001     14-20    +1.46094 +0.00017 +0.00000     
14-21    +1.58461 +0.00017 -0.00000     14-22    +1.18110 +0.00017 -0.00001     
14-23    +0.85170 +0.00017 -0.00000     14-24    +0.70866 +0.00016 +0.00002     
14-25    +0.85170 +0.00017 +0.00002     15-16    +0.35433 +0.00016 -0.00000     
15-17    +0.59055 +0.00016 -0.00001     15-18    +1.00913 +0.00017 -0.00000     
15-19    +1.46094 +0.00017 -0.00001     15-20    +1.92269 +0.00018 +0.00000     
15-21    +2.01826 +0.00018 -0.00000     15-22    +1.58461 +0.00017 -0.00001     
15-23    +1.18110 +0.00017 -0.00001     15-24    +0.85170 +0.00017 +0.00002     
15-25    +0.70866 +0.00016 +0.00001     16-17    +0.47244 +0.00016 +0.00000     
16-18    +0.94488 +0.00017 -0.00000     16-19    +1.41732 +0.00017 -0.00000     
16-20    +1.88976 +0.00018 +0.00001     16-21    +1.92269 +0.00018 -0.00000     
16-22    +1.46094 +0.00017 -0.00001     16-23    +1.00913 +0.00017 -0.00001     
16-24    +0.59055 +0.00016 +0.00002     16-25    +0.35433 +0.00016 +0.00002     
17-18    +0.47244 +0.00016 -0.00001     17-19    +0.94488 +0.00017 -0.00001     
17-20    +1.41732 +0.00017 +0.00000     17-21    +1.46094 +0.00017 -0.00000     
17-22    +1.00913 +0.00017 -0.00001     17-23    +0.59055 +0.00016 -0.00000     
17-24    +0.35433 +0.00016 +0.00003     17-25    +0.59055 +0.00016 +0.00002     
18-19    +0.47244 +0.00016 -0.00000     18-20    +0.94488 +0.00017 +0.00001     
18-21    +1.00913 +0.00017 -0.00000     18-22    +0.59055 +0.00016 -0.00001     
18-23    +0.35433 +0.00016 +0.00000     18-24    +0.59055 +0.00016 +0.00000     
18-25    +1.00913 +0.00017 +0.00000     19-20    +0.47244 +0.00016 +0.00001     
19-21    +0.59055 +0.00016 +0.00000     19-22    +0.35433 +0.00016 -0.00001     
19-23    +0.59055 +0.00016 +0.00001     19-24    +1.00913 +0.00017 -0.00000     
19-25    +1.46094 +0.00017 +0.00000     20-21    +0.35433 +0.00016 +0.00002     
20-22    +0.59055 +0.00016 +0.00002     20-23    +1.00913 +0.00017 +0.00003     
20-24    +1.46094 +0.00017 +0.00001     20-25    +1.92269 +0.00018 +0.00002     
21-22    +0.47244 +0.00016 +0.00000     21-23    +0.94488 +0.00017 +0.00001     
21-24    +1.41732 +0.00017 -0.00001     21-25    +1.88976 +0.00018 +0.00000     
22-23    +0.47244 +0.00016 +0.00001     22-24    +0.94488 +0.00017 -0.00001     
22-25    +1.41732 +0.00017 -0.00000     23-24    +0.47244 +0.00016 -0.00002     
23-25    +0.94488 +0.00017 -0.00001     24-25    +0.47244 +0.00016 +0.00001     
